pokedex_names,elementType,species,height,weight,gender,eggGroups,eggCycle,base_hp,base_attack,base_defense,base_spAtk,base_spDef,base_speed,min100_hp,min100_attack,min100_defense,min100_spAtk,min100_spDef,min100_speed,max100_hp,max100_attack,max100_defense,max100_spAtk,max100_spDef,max100_speed,type_normal,type_fire,type_water,type_electricity,type_grass,type_ice,type_fighting,type_poison,type_ground,type_flying,type_psychic,type_bug,type_rock,type_ghost,type_dragon,type_dark,type_steel,type_fairy
skarmory,Steel			Flying,Armor Bird Pokémon,1.7 m (5′07″),50.5 kg (111.3 lbs),"50% male, 50% female",Flying,"25				(6,169–6,425 steps)",65,80,140,40,70,70,240,148,256,76,130,130,334,284,416,196,262,262,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
houndour,Dark			Fire,Dark Pokémon,0.6 m (2′00″),10.8 kg (23.8 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",45,60,30,80,50,65,200,112,58,148,94,121,294,240,174,284,218,251,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
houndoom,Dark			Fire,Dark Pokémon,1.4 m (4′07″),35.0 kg (77.2 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",75,90,50,110,80,95,260,166,94,202,148,175,354,306,218,350,284,317,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
kingdra,Water			Dragon,Dragon Pokémon,1.8 m (5′11″),152.0 kg (335.1 lbs),"50% male, 50% female","Dragon, Water 1","20				(4,884–5,140 steps)",75,95,95,95,95,85,260,175,175,175,175,157,354,317,317,317,317,295,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
phanpy,Ground,Long Nose Pokémon,0.5 m (1′08″),33.5 kg (73.9 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",90,60,60,40,40,40,290,112,112,76,76,76,384,240,240,196,196,196,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
donphan,Ground,Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",90,120,120,60,60,50,290,220,220,112,112,94,384,372,372,240,240,218,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
porygon2,Normal,Virtual Pokémon,0.6 m (2′00″),32.5 kg (71.7 lbs),Genderless,Mineral,"20				(4,884–5,140 steps)",85,80,90,105,95,60,280,148,166,193,175,112,374,284,306,339,317,240,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
stantler,Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",73,95,62,85,65,85,256,175,116,157,121,157,350,317,245,295,251,295,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
smeargle,Normal,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",55,20,35,20,45,75,220,40,67,40,85,139,314,152,185,152,207,273,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
tyrogue,Fighting,Scuffle Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs),"100% male, 0% female",Undiscovered,"25				(6,169–6,425 steps)",35,35,35,35,35,35,180,67,67,67,67,67,274,185,185,185,185,185,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
hitmontop,Fighting,Handstand Pokémon,1.4 m (4′07″),48.0 kg (105.8 lbs),"100% male, 0% female",Human-Like,"25				(6,169–6,425 steps)",50,95,95,35,110,70,210,175,175,67,202,130,304,317,317,185,350,262,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
smoochum,Ice			Psychic,Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),"0% male, 100% female",Undiscovered,"25				(6,169–6,425 steps)",45,30,15,85,65,65,200,58,31,157,121,121,294,174,141,295,251,251,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
elekid,Electric,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs),"75% male, 25% female",Undiscovered,"25				(6,169–6,425 steps)",45,63,37,65,55,95,200,117,71,121,103,175,294,247,190,251,229,317,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
magby,Fire,Live Coal Pokémon,0.7 m (2′04″),21.4 kg (47.2 lbs),"75% male, 25% female",Undiscovered,"25				(6,169–6,425 steps)",45,75,37,70,55,83,200,139,71,130,103,153,294,273,190,262,229,291,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
miltank,Normal,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs),"0% male, 100% female",Field,"20				(4,884–5,140 steps)",95,80,105,40,70,100,300,148,193,76,130,184,394,284,339,196,262,328,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,0,1,1,1,1
blissey,Normal,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs),"0% male, 100% female",Fairy,"40				(10,024–10,280 steps)",255,10,10,75,135,55,620,22,22,139,247,103,714,130,130,273,405,229,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
raikou,Electric,Thunder Pokémon,1.9 m (6′03″),178.0 kg (392.4 lbs),Genderless,Undiscovered,"80				(20,304–20,560 steps)",90,85,75,115,100,115,290,157,139,211,184,211,384,295,273,361,328,361,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
entei,Fire,Volcano Pokémon,2.1 m (6′11″),198.0 kg (436.5 lbs),Genderless,Undiscovered,"80				(20,304–20,560 steps)",115,115,85,90,75,100,340,211,157,166,139,184,434,361,295,306,273,328,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
suicune,Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),Genderless,Undiscovered,"80				(20,304–20,560 steps)",100,75,115,90,115,85,310,139,211,166,211,157,404,273,361,306,361,295,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
larvitar,Rock			Ground,Rock Skin Pokémon,0.6 m (2′00″),72.0 kg (158.7 lbs),"50% male, 50% female",Monster,"40				(10,024–10,280 steps)",50,64,50,45,50,41,210,119,94,85,94,78,304,249,218,207,218,199,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
pupitar,Rock			Ground,Hard Shell Pokémon,1.2 m (3′11″),152.0 kg (335.1 lbs),"50% male, 50% female",Monster,"40				(10,024–10,280 steps)",70,84,70,65,70,51,250,155,130,121,130,96,344,293,262,251,262,221,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
tyranitar,Rock			Dark,Armor Pokémon,2.0 m (6′07″),202.0 kg (445.3 lbs),"50% male, 50% female",Monster,"40				(10,024–10,280 steps)",100,134,110,95,100,61,310,245,202,175,184,114,404,403,350,317,328,243,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
lugia,Psychic			Flying,Diving Pokémon,5.2 m (17′01″),216.0 kg (476.2 lbs),Genderless,Undiscovered,"120				(30,584–30,840 steps)",106,90,130,90,154,110,322,166,238,166,281,202,416,306,394,306,447,350,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
ho-oh,Fire			Flying,Rainbow Pokémon,3.8 m (12′06″),199.0 kg (438.7 lbs),Genderless,Undiscovered,"120				(30,584–30,840 steps)",106,130,90,110,154,90,322,238,166,202,281,166,416,394,306,350,447,306,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
celebi,Psychic			Grass,Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),Genderless,Undiscovered,"120				(30,584–30,840 steps)",100,100,100,100,100,100,310,184,184,184,184,184,404,328,328,328,328,328,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
treecko,Grass,Wood Gecko Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs),"87.5% male, 12.5% female","Dragon, Monster","20				(4,884–5,140 steps)",40,45,35,65,55,70,190,85,67,121,103,130,284,207,185,251,229,262,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
grovyle,Grass,Wood Gecko Pokémon,0.9 m (2′11″),21.6 kg (47.6 lbs),"87.5% male, 12.5% female","Dragon, Monster","20				(4,884–5,140 steps)",50,65,45,85,65,95,210,121,85,157,121,175,304,251,207,295,251,317,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
sceptile,Grass,Forest Pokémon,1.7 m (5′07″),52.2 kg (115.1 lbs),"87.5% male, 12.5% female","Dragon, Monster","20				(4,884–5,140 steps)",70,85,65,105,85,120,250,157,121,193,157,220,344,295,251,339,295,372,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
torchic,Fire,Chick Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),"87.5% male, 12.5% female",Field,"20				(4,884–5,140 steps)",45,60,40,70,50,45,200,112,76,130,94,85,294,240,196,262,218,207,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
combusken,Fire			Fighting,Young Fowl Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"87.5% male, 12.5% female",Field,"20				(4,884–5,140 steps)",60,85,60,85,60,55,230,157,112,157,112,103,324,295,240,295,240,229,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
blaziken,Fire			Fighting,Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),"87.5% male, 12.5% female",Field,"20				(4,884–5,140 steps)",80,120,70,110,70,80,270,220,130,202,130,148,364,372,262,350,262,284,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
mudkip,Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),"87.5% male, 12.5% female","Monster, Water 1","20				(4,884–5,140 steps)",50,70,50,50,50,40,210,130,94,94,94,76,304,262,218,218,218,196,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
marshtomp,Water			Ground,Mud Fish Pokémon,0.7 m (2′04″),28.0 kg (61.7 lbs),"87.5% male, 12.5% female","Monster, Water 1","20				(4,884–5,140 steps)",70,85,70,60,70,50,250,157,130,112,130,94,344,295,262,240,262,218,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
swampert,Water			Ground,Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs),"87.5% male, 12.5% female","Monster, Water 1","20				(4,884–5,140 steps)",100,110,90,85,90,60,310,202,166,157,166,112,404,350,306,295,306,240,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
poochyena,Dark,Bite Pokémon,0.5 m (1′08″),13.6 kg (30.0 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",35,55,35,30,30,35,180,103,67,58,58,67,274,229,185,174,174,185,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
mightyena,Dark,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",70,90,70,60,60,70,250,166,130,112,112,130,344,306,262,240,240,262,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
zigzagoon,Normal,TinyRaccoon Pokémon,0.4 m (1′04″),17.5 kg (38.6 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",38,30,41,30,41,60,186,58,78,58,78,112,280,174,199,174,199,240,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
linoone,Normal,Rushing Pokémon,0.5 m (1′08″),32.5 kg (71.7 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",78,70,61,50,61,100,266,130,114,94,114,184,360,262,243,218,243,328,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
wurmple,Bug,Worm Pokémon,0.3 m (1′00″),3.6 kg (7.9 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",45,45,35,20,30,20,200,85,67,40,58,40,294,207,185,152,174,152,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
silcoon,Bug,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",50,35,55,25,25,15,210,67,103,49,49,31,304,185,229,163,163,141,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
beautifly,Bug			Flying,Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",60,70,50,100,50,65,230,130,94,184,94,121,324,262,218,328,218,251,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
cascoon,Bug,Cocoon Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",50,35,55,25,25,15,210,67,103,49,49,31,304,185,229,163,163,141,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
dustox,Bug			Poison,Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",60,50,70,50,90,65,230,94,130,94,166,121,324,218,262,218,306,251,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
lotad,Water			Grass,Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs),"50% male, 50% female","Grass, Water 1","15				(3,599–3,855 steps)",40,30,30,40,50,30,190,58,58,76,94,58,284,174,174,196,218,174,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
lombre,Water			Grass,Jolly Pokémon,1.2 m (3′11″),32.5 kg (71.7 lbs),"50% male, 50% female","Grass, Water 1","15				(3,599–3,855 steps)",60,50,50,60,70,50,230,94,94,112,130,94,324,218,218,240,262,218,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
ludicolo,Water			Grass,Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),"50% male, 50% female","Grass, Water 1","15				(3,599–3,855 steps)",80,70,70,90,100,70,270,130,130,166,184,130,364,262,262,306,328,262,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
seedot,Grass,Acorn Pokémon,0.5 m (1′08″),4.0 kg (8.8 lbs),"50% male, 50% female","Field, Grass","15				(3,599–3,855 steps)",40,40,50,30,30,30,190,76,94,58,58,58,284,196,218,174,174,174,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
nuzleaf,Grass			Dark,Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),"50% male, 50% female","Field, Grass","15				(3,599–3,855 steps)",70,70,40,60,40,60,250,130,76,112,76,112,344,262,196,240,196,240,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
shiftry,Grass			Dark,Wicked Pokémon,1.3 m (4′03″),59.6 kg (131.4 lbs),"50% male, 50% female","Field, Grass","15				(3,599–3,855 steps)",90,100,60,90,60,80,290,184,112,166,112,148,384,328,240,306,240,284,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
taillow,Normal			Flying,TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",40,55,30,30,30,85,190,103,58,58,58,157,284,229,174,174,174,295,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
swellow,Normal			Flying,Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",60,85,60,75,50,125,230,157,112,139,94,229,324,295,240,273,218,383,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
wingull,Water			Flying,Seagull Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs),"50% male, 50% female","Flying, Water 1","20				(4,884–5,140 steps)",40,30,30,55,30,85,190,58,58,103,58,157,284,174,174,229,174,295,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
pelipper,Water			Flying,Water Bird Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),"50% male, 50% female","Flying, Water 1","20				(4,884–5,140 steps)",60,50,100,95,70,65,230,94,184,175,130,121,324,218,328,317,262,251,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
ralts,Psychic			Fairy,Feeling Pokémon,0.4 m (1′04″),6.6 kg (14.6 lbs),"50% male, 50% female","Amorphous, Human-Like","20				(4,884–5,140 steps)",28,25,25,45,35,40,166,49,49,85,67,76,260,163,163,207,185,196,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
kirlia,Psychic			Fairy,Emotion Pokémon,0.8 m (2′07″),20.2 kg (44.5 lbs),"50% male, 50% female","Amorphous, Human-Like","20				(4,884–5,140 steps)",38,35,35,65,55,50,186,67,67,121,103,94,280,185,185,251,229,218,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
gardevoir,Psychic			Fairy,Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),"50% male, 50% female","Amorphous, Human-Like","20				(4,884–5,140 steps)",68,65,65,125,115,80,246,121,121,229,211,148,340,251,251,383,361,284,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
surskit,Bug			Water,Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),"50% male, 50% female","Bug, Water 1","15				(3,599–3,855 steps)",40,30,32,50,52,65,190,58,62,94,98,121,284,174,179,218,223,251,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
masquerain,Bug			Flying,Eyeball Pokémon,0.8 m (2′07″),3.6 kg (7.9 lbs),"50% male, 50% female","Bug, Water 1","15				(3,599–3,855 steps)",70,60,62,100,82,80,250,112,116,184,152,148,344,240,245,328,289,284,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
shroomish,Grass,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs),"50% male, 50% female","Fairy, Grass","15				(3,599–3,855 steps)",60,40,60,40,60,35,230,76,112,76,112,67,324,196,240,196,240,185,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
breloom,Grass			Fighting,Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs),"50% male, 50% female","Fairy, Grass","15				(3,599–3,855 steps)",60,130,80,60,60,70,230,238,148,112,112,130,324,394,284,240,240,262,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
slakoth,Normal,Slacker Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",60,60,60,35,35,30,230,112,112,67,67,58,324,240,240,185,185,174,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
vigoroth,Normal,Wild Monkey Pokémon,1.4 m (4′07″),46.5 kg (102.5 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",80,80,80,55,55,90,270,148,148,103,103,166,364,284,284,229,229,306,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
slaking,Normal,Lazy Pokémon,2.0 m (6′07″),130.5 kg (287.7 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",150,160,100,95,65,100,410,292,184,175,121,184,504,460,328,317,251,328,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
nincada,Bug			Ground,Trainee Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",31,45,90,30,30,40,172,85,166,58,58,76,266,207,306,174,174,196,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
ninjask,Bug			Flying,Ninja Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",61,90,45,50,50,160,232,166,85,94,94,292,326,306,207,218,218,460,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
shedinja,Bug			Ghost,Shed Pokémon,0.8 m (2′07″),1.2 kg (2.6 lbs),Genderless,Mineral,"15				(3,599–3,855 steps)",1,90,45,30,30,40,1,166,85,58,58,76,1,306,207,174,174,196,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0
whismur,Normal,Whisper Pokémon,0.6 m (2′00″),16.3 kg (35.9 lbs),"50% male, 50% female","Field, Monster","20				(4,884–5,140 steps)",64,51,23,51,23,28,238,96,45,96,45,54,332,221,159,221,159,170,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
loudred,Normal,Big Voice Pokémon,1.0 m (3′03″),40.5 kg (89.3 lbs),"50% male, 50% female","Field, Monster","20				(4,884–5,140 steps)",84,71,43,71,43,48,278,132,81,132,81,90,372,265,203,265,203,214,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
exploud,Normal,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs),"50% male, 50% female","Field, Monster","20				(4,884–5,140 steps)",104,91,63,91,73,68,318,168,117,168,135,126,412,309,247,309,269,258,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
makuhita,Fighting,Guts Pokémon,1.0 m (3′03″),86.4 kg (190.5 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",72,60,30,20,30,25,254,112,58,40,58,49,348,240,174,152,174,163,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
hariyama,Fighting,Arm Thrust Pokémon,2.3 m (7′07″),253.8 kg (559.5 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",144,120,60,40,60,50,398,220,112,76,112,94,492,372,240,196,240,218,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
azurill,Normal			Fairy,Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"25% male, 75% female",Undiscovered,"10				(2,314–2,570 steps)",50,20,40,20,40,20,210,40,76,40,76,40,304,152,196,152,196,152,1,0.5,1,1,1,0.5,1,2,1,1,1,0.5,1,0,0,0.5,2,1
nosepass,Rock,Compass Pokémon,1.0 m (3′03″),97.0 kg (213.8 lbs),"50% male, 50% female",Mineral,"20				(4,884–5,140 steps)",30,45,135,45,90,30,170,85,247,85,166,58,264,207,405,207,306,174,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
skitty,Normal,Kitten Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),"25% male, 75% female","Fairy, Field","15				(3,599–3,855 steps)",50,45,45,35,35,50,210,85,85,67,67,94,304,207,207,185,185,218,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
delcatty,Normal,Prim Pokémon,1.1 m (3′07″),32.6 kg (71.9 lbs),"25% male, 75% female","Fairy, Field","15				(3,599–3,855 steps)",70,65,65,55,55,90,250,121,121,103,103,166,344,251,251,229,229,306,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
sableye,Dark			Ghost,Darkness Pokémon,0.5 m (1′08″),11.0 kg (24.3 lbs),"50% male, 50% female",Human-Like,"25				(6,169–6,425 steps)",50,75,75,65,65,50,210,139,139,121,121,94,304,273,273,251,251,218,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
mawile,Steel			Fairy,Deceiver Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs),"50% male, 50% female","Fairy, Field","20				(4,884–5,140 steps)",50,85,85,55,55,50,210,157,157,103,103,94,304,295,295,229,229,218,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5
aron,Steel			Rock,Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),"50% male, 50% female",Monster,"35				(8,739–8,995 steps)",50,70,100,40,40,30,210,130,184,76,76,58,304,262,328,196,196,174,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
lairon,Steel			Rock,Iron Armor Pokémon,0.9 m (2′11″),120.0 kg (264.6 lbs),"50% male, 50% female",Monster,"35				(8,739–8,995 steps)",60,90,140,50,50,40,230,166,256,94,94,76,324,306,416,218,218,196,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
aggron,Steel			Rock,Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),"50% male, 50% female",Monster,"35				(8,739–8,995 steps)",70,110,180,60,60,50,250,202,328,112,112,94,344,350,504,240,240,218,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
meditite,Fighting			Psychic,Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs),"50% male, 50% female",Human-Like,"20				(4,884–5,140 steps)",30,40,55,40,55,60,170,76,103,76,103,112,264,196,229,196,229,240,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
medicham,Fighting			Psychic,Meditate Pokémon,1.3 m (4′03″),31.5 kg (69.4 lbs),"50% male, 50% female",Human-Like,"20				(4,884–5,140 steps)",60,60,75,60,75,80,230,112,139,112,139,148,324,240,273,240,273,284,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
electrike,Electric,Lightning Pokémon,0.6 m (2′00″),15.2 kg (33.5 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",40,45,40,65,40,65,190,85,76,121,76,121,284,207,196,251,196,251,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
manectric,Electric,Discharge Pokémon,1.5 m (4′11″),40.2 kg (88.6 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",70,75,60,105,60,105,250,139,112,193,112,193,344,273,240,339,240,339,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
plusle,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"50% male, 50% female",Fairy,"20				(4,884–5,140 steps)",60,50,40,85,75,95,230,94,76,157,139,175,324,218,196,295,273,317,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
minun,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"50% male, 50% female",Fairy,"20				(4,884–5,140 steps)",60,40,50,75,85,95,230,76,94,139,157,175,324,196,218,273,295,317,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
volbeat,Bug,Firefly Pokémon,0.7 m (2′04″),17.7 kg (39.0 lbs),"100% male, 0% female","Bug, Human-Like","15				(3,599–3,855 steps)",65,73,75,47,85,85,240,135,139,89,157,157,334,269,273,212,295,295,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
